n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
36,35,0.0556,0.013317,0.000000,None,None,0.0106894625,0.0466439925,0.1006361746,0,0
36,36,0.0571,0.013317,0.000000,0.030384494,0.030384494,0.0210300293,0.0508774616,0.107978171,0,0
36,37,0.0587,0.042345,0.005407,0.030384494,0.030384494,0.0306817021,0.0150662965,0.1098165993,0,0
36,38,0.0603,0.065090,0.006156,0.0987940897,0.0987940897,0.035469054,0.1121667224,0.1380058296,0,0
36,39,0.0619,0.090708,0.012001,0.0987940897,0.0987940897,0.0749742544,0.0561324402,0.1018729347,0,0
36,40,0.0635,0.085121,0.044680,0.1054604295,0.11979548,0.0519447018,0.0567304066,0.194108624,0,0
36,41,0.0651,0.082304,0.022618,0.120168474,0.1203323111,0.0355426943,0.1148391339,0.1515062202,0,0
36,42,0.0667,0.103259,0.033699,0.1611723664,0.1822254517,0.114970738,0.1345857465,0.1066687113,0,0
36,43,0.0683,0.147883,0.027124,0.2158003411,0.1891423096,0.0987305346,0.1174766175,0.075889667,0,0
36,44,0.0698,0.115282,0.061345,0.2463320109,0.267699835,0.0861787254,0.1390685143,0.1415001313,0,0
36,45,0.0714,0.110373,0.092195,0.2863009672,0.3071599978,0.1184286684,0.1883890914,0.2286150236,0,0
36,46,0.0730,0.214889,0.049587,0.3392003076,0.3225111307,0.1549575008,0.1765499108,0.2448262401,0,0
36,47,0.0746,0.210845,0.032957,0.3789544033,0.3472276442,0.1699198268,0.1664787793,0.1922627525,0,0
36,48,0.0762,0.245431,0.051323,0.3970549618,0.3667414408,0.1786837359,0.2480485246,0.2509553553,0,0
36,49,0.0778,0.326079,0.031675,0.4132298878,0.3858584823,0.175780445,0.2561237843,0.2215869301,0,0
36,50,0.0794,0.324679,0.056376,0.4630889766,0.4564472449,0.1617691852,0.2685221783,0.3235902084,0,0
36,51,0.0810,0.238878,0.127285,0.5243950976,0.4984042192,0.1837321681,0.3268378968,0.4200631532,0,0
36,52,0.0825,0.413144,0.076115,0.5511389438,0.4996666522,0.2386223789,0.2576891428,0.2935417224,0,0
36,53,0.0841,0.449222,0.043113,0.5652888372,0.5510961492,0.301863427,0.3384512877,0.3507782349,0,0
36,54,0.0857,0.475502,0.052985,0.6006619766,0.6097963602,0.3042092863,0.24885095,0.4941835823,0,0
36,55,0.0873,0.491310,0.060276,0.63892331,0.6380583879,0.293554924,0.281184594,0.368994552,0,0
36,56,0.0889,0.503115,0.071933,0.6620158866,0.7159596473,0.3195734159,0.3626782532,0.4043325831,0,0
