n,m,v10
16,17,0.1848179607
16,18,0.3272932754
16,19,0.4695456322
16,20,0.5392880628
16,21,0.7434500658
16,22,0.7749159581
16,23,0.7855631872
16,24,1.0105821883
16,25,1.1310160823
16,26,1.2686849614
16,27,1.3721641386
16,28,1.4956222980
16,29,1.5703894202
16,30,1.7382344802
16,31,1.8001048190
16,32,1.8747106588
16,33,2.0478698949
16,34,2.0983451881
16,35,2.3351956139
16,36,2.4868461733
16,37,2.5098283099
16,38,2.7764269157
16,39,2.8667971393
16,40,2.9232160112
16,41,2.9846317781
16,42,3.2200324403
16,43,3.2301584352
16,44,3.5014435090
16,45,3.5510756181
16,46,3.6318054313
16,47,3.7520472104
16,48,3.8476752421
16,49,3.9497363174
16,50,4.0728244366
16,51,4.3208294170
16,52,4.3416604759
16,53,4.3880015525
16,54,4.6640674068
16,55,4.8128877379
16,56,4.9888346911
16,57,5.0240510791
16,58,5.0951905299
16,59,5.3100191416
16,60,5.4349296516
16,61,5.4814949056
16,62,5.7002605717
16,63,5.8824535548
16,64,5.9160829733
16,65,6.0027852663
16,66,6.2751680429
16,67,6.4336569391
16,68,6.4823690161
16,69,6.7166635138
16,70,6.6560371475
16,71,6.6798825158
16,72,7.0917132147
16,73,7.1239861135
16,74,7.1611808968
16,75,7.3225552546
16,76,7.6868201572
16,77,7.7468338165
16,78,7.7908008120
16,79,8.0377464691
16,80,8.0660589242
16,81,8.2127428203
16,82,8.6245984783
16,83,8.5083399557
16,84,8.7796378595
16,85,8.9547668693
16,86,9.0601990923
16,87,9.1816660843
16,88,9.2389268582
16,89,9.4263490461
16,90,9.5935417340
16,91,9.8150712246
16,92,9.9430313940
16,93,10.1323488069
16,94,10.2944969333
16,95,10.2986115914
16,96,10.4724953551
16,97,10.7446663921
16,98,10.6755953650
16,99,11.0475406346
16,100,11.4399078586
16,101,11.4142840813
16,102,11.4384471872
16,103,11.2030995917
16,104,11.5857864376
16,105,11.5857864376
16,106,11.8365962269
16,107,12.1206147584
16,108,12.3819660113
16,109,12.5857864376
16,110,13.0000000000
16,111,13.0000000000
16,112,12.5857864376
16,113,12.5857864376
16,114,12.5857864376
16,115,14.0000000000
16,116,13.0000000000
16,117,14.0000000000
16,118,13.0000000000
16,119,14.0000000000
16,120,16.0000000000
